x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89655.73606203243,43117.94147521994,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89655.29416807427,43117.70753135972,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89654.85227411609,43117.47358749952,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89654.41038015792,43117.23964363931,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89653.96848619974,43117.005699779096,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89653.4795315556,43117.088782223356,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.5707778554022274
89652.98873487028,43117.184273655905,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.6443260852705612
89652.49793818497,43117.27976508845,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.717874315138895
89652.00714149966,43117.37525652101,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.7914225450072288
89651.51634481436,43117.47074795356,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.8649707748755626
89651.02554812905,43117.566239386106,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.9385190047438963
89650.53751855456,43117.67220644888,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,2.137788280245977
89650.06358705074,43117.83154548895,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,2.977589977514932
89649.58965554692,43117.99088452903,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,3.817391674783887
89649.1157240431,43118.1502235691,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,4.657193372052843
89648.64179253929,43118.309562609174,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,5.496995069321798
89648.16786103547,43118.46890164925,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,6.336796766590752
89647.69392953167,43118.62824068932,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,7.176598463859708
